Date,Mean
20-01-2023,124.0941
19-01-2023,124.05
18-01-2023,124.0088
17-01-2023,123.9441
16-01-2023,123.8912
13-01-2023,123.8353
12-01-2023,123.7794
11-01-2023,123.7176
10-01-2023,123.6471
09-01-2023,123.5882
06-01-2023,123.5471
05-01-2023,123.4824
04-01-2023,123.4412
03-01-2023,123.4235
30-12-2022,123.3735
29-12-2022,123.3294
28-12-2022,123.2588
23-12-2022,123.2088
22-12-2022,123.1647
21-12-2022,123.1441
20-12-2022,123.0941
19-12-2022,123.0471
16-12-2022,122.9882
15-12-2022,122.9412
14-12-2022,122.8971
13-12-2022,122.8382
09-12-2022,122.7912
08-12-2022,122.7382
07-12-2022,122.6853
06-12-2022,122.6324
05-12-2022,122.5912
02-12-2022,122.5324
01-12-2022,122.5
30-11-2022,122.4471
29-11-2022,122.3765
28-11-2022,122.3353
25-11-2022,122.2794
24-11-2022,122.2294
23-11-2022,122.1824
22-11-2022,122.1265
21-11-2022,122.0794
18-11-2022,122.0294
17-11-2022,121.9794
16-11-2022,121.9294
15-11-2022,121.8971
14-11-2022,121.8265
11-11-2022,121.7824
10-11-2022,121.7382
09-11-2022,121.6706
08-11-2022,121.6118
07-11-2022,121.5382
04-11-2022,121.4971
03-11-2022,121.4529
02-11-2022,121.4147
01-11-2022,121.3794
31-10-2022,121.3324
28-10-2022,121.3118
27-10-2022,121.2735
26-10-2022,121.2324
25-10-2022,121.1941
24-10-2022,121.1676
21-10-2022,121.1353
19-10-2022,121.1059
18-10-2022,121.0706
17-10-2022,121.0306
14-10-2022,120.9735
13-10-2022,120.9353
12-10-2022,120.9118
11-10-2022,120.8647
07-10-2022,120.85
06-10-2022,120.8235
05-10-2022,120.8059
04-10-2022,120.7882
03-10-2022,120.7765
30-09-2022,120.7324
29-09-2022,120.6971
28-09-2022,120.6735
27-09-2022,120.6235
26-09-2022,120.5971
23-09-2022,120.56
22-09-2022,120.5424
21-09-2022,120.4982
20-09-2022,120.4559
19-09-2022,120.4294
16-09-2022,120.4106
15-09-2022,120.4118
14-09-2022,120.3706
12-09-2022,120.3353
09-09-2022,120.3059
08-09-2022,120.2824
07-09-2022,120.2618
06-09-2022,120.2206
05-09-2022,120.1847
02-09-2022,120.1176
01-09-2022,120.0529
31-08-2022,120.0129
30-08-2022,119.9794
29-08-2022,119.9294
26-08-2022,119.9059
25-08-2022,119.8576
24-08-2022,119.8029
23-08-2022,119.7206
22-08-2022,119.6294
19-08-2022,119.5735
18-08-2022,119.4735
17-08-2022,119.45
16-08-2022,119.4147
15-08-2022,119.3559
12-08-2022,119.3118
11-08-2022,119.2412
10-08-2022,119.1735
08-08-2022,119.1265
05-08-2022,119.0912
04-08-2022,119.0324
03-08-2022,118.9941
02-08-2022,118.9118
01-08-2022,118.85
29-07-2022,118.8
28-07-2022,118.7588
27-07-2022,118.7176
26-07-2022,118.6588
25-07-2022,118.6206
22-07-2022,118.5706
21-07-2022,118.5206
20-07-2022,118.4529
19-07-2022,118.3882
18-07-2022,118.3324
15-07-2022,118.2718
14-07-2022,118.2306
13-07-2022,118.1794
12-07-2022,118.1324
08-07-2022,118.0706
07-07-2022,118.0324
06-07-2022,117.9941
05-07-2022,117.9529
04-07-2022,117.8971
01-07-2022,117.8735
30-06-2022,117.8324
29-06-2022,117.7912
28-06-2022,117.7029
27-06-2022,117.6941
24-06-2022,117.6559
23-06-2022,117.5706
22-06-2022,117.5059
21-06-2022,117.4353
20-06-2022,117.3971
17-06-2022,117.3265
16-06-2022,117.2853
15-06-2022,117.2353
14-06-2022,117.1676
13-06-2022,117.1
10-06-2022,117.0471
09-06-2022,117.01
08-06-2022,116.95
07-06-2022,116.9
06-06-2022,116.8482
03-06-2022,116.8306
02-06-2022,116.81
31-05-2022,116.7382
30-05-2022,116.7147
27-05-2022,116.6868
26-05-2022,116.6165
25-05-2022,116.5794
24-05-2022,116.5176
23-05-2022,116.4706
20-05-2022,116.4059
19-05-2022,116.3735
18-05-2022,116.3176
17-05-2022,116.2441
16-05-2022,116.1735
13-05-2022,116.1235
12-05-2022,116.0971
11-05-2022,116.0676
10-05-2022,115.9959
09-05-2022,115.9459
06-05-2022,115.9047
05-05-2022,115.8441
04-05-2022,115.8059
28-04-2022,115.7735
27-04-2022,115.7412
26-04-2022,115.6971
25-04-2022,115.6529
22-04-2022,115.5971
21-04-2022,115.5441
20-04-2022,115.5059
19-04-2022,115.4847
14-04-2022,115.4382
13-04-2022,115.4088
12-04-2022,115.3765
11-04-2022,115.3324
08-04-2022,115.2882
07-04-2022,115.1941
06-04-2022,115.1206
05-04-2022,115.0969
04-04-2022,115.0375
01-04-2022,114.995
